Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,symmetric,0.29224700790007135
100% Corpus,2,0.21000000000000002,0.01,0.30677599840563236
100% Corpus,2,0.21000000000000002,0.21000000000000002,0.29831691142924066
100% Corpus,2,0.21000000000000002,0.41000000000000003,0.2922470079000713
100% Corpus,2,0.21000000000000002,0.6100000000000001,0.2866423091039795
100% Corpus,2,0.21000000000000002,0.81,0.29345313891291214
100% Corpus,2,0.21000000000000002,symmetric,0.28674661835278525
100% Corpus,2,0.41000000000000003,0.01,0.3067759984056323
100% Corpus,2,0.41000000000000003,0.21000000000000002,0.29831691142924066
100% Corpus,2,0.41000000000000003,0.41000000000000003,0.29567457445265766
100% Corpus,2,0.41000000000000003,0.6100000000000001,0.29432507287036475
100% Corpus,2,0.41000000000000003,0.81,0.28674661835278525
100% Corpus,2,0.41000000000000003,symmetric,0.2956745744526576
100% Corpus,2,0.6100000000000001,0.01,0.3037401564183597
100% Corpus,2,0.6100000000000001,0.21000000000000002,0.30677599840563236
100% Corpus,2,0.6100000000000001,0.41000000000000003,0.3067759984056323
100% Corpus,2,0.6100000000000001,0.6100000000000001,0.3067759984056323
100% Corpus,2,0.6100000000000001,0.81,0.29405403129539326
100% Corpus,2,0.6100000000000001,symmetric,0.3067759984056324
100% Corpus,2,0.81,0.01,0.3037401564183596
100% Corpus,2,0.81,0.21000000000000002,0.30677599840563236
100% Corpus,2,0.81,0.41000000000000003,0.30677599840563236
100% Corpus,2,0.81,0.6100000000000001,0.29831691142924066
100% Corpus,2,0.81,0.81,0.29831691142924066
100% Corpus,2,0.81,symmetric,0.30677599840563236
100% Corpus,2,symmetric,0.01,0.3037401564183596
100% Corpus,2,symmetric,0.21000000000000002,0.30677599840563236
100% Corpus,2,symmetric,0.41000000000000003,0.3067759984056324
100% Corpus,2,symmetric,0.6100000000000001,0.2969674098469478
100% Corpus,2,symmetric,0.81,0.29432507287036475
100% Corpus,2,symmetric,symmetric,0.29831691142924066
100% Corpus,2,asymmetric,0.01,0.3037401564183596
100% Corpus,2,asymmetric,0.21000000000000002,0.29528106944196797
100% Corpus,2,asymmetric,0.41000000000000003,0.3037401564183597
